"LOCATION","Country","VAR","Variable","EDI","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1960-01","Jan-1960","IDX","Index","0","Units",,,14.21,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1960-02","Feb-1960","IDX","Index","0","Units",,,14.29,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1960-03","Mar-1960","IDX","Index","0","Units",,,14.54,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1960-04","Apr-1960","IDX","Index","0","Units",,,14.66,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1960-05","May-1960","IDX","Index","0","Units",,,14.77,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1960-06","Jun-1960","IDX","Index","0","Units",,,14.85,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1960-07","Jul-1960","IDX","Index","0","Units",,,14.92,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1960-08","Aug-1960","IDX","Index","0","Units",,,15.17,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1960-09","Sep-1960","IDX","Index","0","Units",,,15,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1960-10","Oct-1960","IDX","Index","0","Units",,,15.14,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1960-11","Nov-1960","IDX","Index","0","Units",,,15.55,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1960-12","Dec-1960","IDX","Index","0","Units",,,15.62,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1961-01","Jan-1961","IDX","Index","0","Units",,,15.04,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1961-02","Feb-1961","IDX","Index","0","Units",,,15.44,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1961-03","Mar-1961","IDX","Index","0","Units",,,15.6,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1961-04","Apr-1961","IDX","Index","0","Units",,,15.44,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1961-05","May-1961","IDX","Index","0","Units",,,15.34,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1961-06","Jun-1961","IDX","Index","0","Units",,,15.4,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1961-07","Jul-1961","IDX","Index","0","Units",,,15.65,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1961-08","Aug-1961","IDX","Index","0","Units",,,15.31,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1961-09","Sep-1961","IDX","Index","0","Units",,,15.7,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1961-10","Oct-1961","IDX","Index","0","Units",,,15.63,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1961-11","Nov-1961","IDX","Index","0","Units",,,15.54,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1961-12","Dec-1961","IDX","Index","0","Units",,,15.91,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1962-01","Jan-1962","IDX","Index","0","Units",,,15.66,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1962-02","Feb-1962","IDX","Index","0","Units",,,15.99,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1962-03","Mar-1962","IDX","Index","0","Units",,,15.85,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1962-04","Apr-1962","IDX","Index","0","Units",,,16.13,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1962-05","May-1962","IDX","Index","0","Units",,,15.41,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1962-06","Jun-1962","IDX","Index","0","Units",,,15.92,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1962-07","Jul-1962","IDX","Index","0","Units",,,15.93,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1962-08","Aug-1962","IDX","Index","0","Units",,,16,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1962-09","Sep-1962","IDX","Index","0","Units",,,16.25,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1962-10","Oct-1962","IDX","Index","0","Units",,,16.03,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1962-11","Nov-1962","IDX","Index","0","Units",,,16.01,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1962-12","Dec-1962","IDX","Index","0","Units",,,15.92,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1963-01","Jan-1963","IDX","Index","0","Units",,,16.03,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1963-02","Feb-1963","IDX","Index","0","Units",,,15.92,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1963-03","Mar-1963","IDX","Index","0","Units",,,16.3,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1963-04","Apr-1963","IDX","Index","0","Units",,,16.35,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1963-05","May-1963","IDX","Index","0","Units",,,16.52,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1963-06","Jun-1963","IDX","Index","0","Units",,,16.96,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1963-07","Jul-1963","IDX","Index","0","Units",,,16.43,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1963-08","Aug-1963","IDX","Index","0","Units",,,16.96,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1963-09","Sep-1963","IDX","Index","0","Units",,,16.97,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1963-10","Oct-1963","IDX","Index","0","Units",,,17,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1963-11","Nov-1963","IDX","Index","0","Units",,,17.55,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1963-12","Dec-1963","IDX","Index","0","Units",,,16.79,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1964-01","Jan-1964","IDX","Index","0","Units",,,17.58,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1964-02","Feb-1964","IDX","Index","0","Units",,,17.86,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1964-03","Mar-1964","IDX","Index","0","Units",,,17.63,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1964-04","Apr-1964","IDX","Index","0","Units",,,17.47,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1964-05","May-1964","IDX","Index","0","Units",,,18.54,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1964-06","Jun-1964","IDX","Index","0","Units",,,17.67,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1964-07","Jul-1964","IDX","Index","0","Units",,,18.09,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1964-08","Aug-1964","IDX","Index","0","Units",,,18.06,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1964-09","Sep-1964","IDX","Index","0","Units",,,17.91,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1964-10","Oct-1964","IDX","Index","0","Units",,,18.26,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1964-11","Nov-1964","IDX","Index","0","Units",,,18.19,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1964-12","Dec-1964","IDX","Index","0","Units",,,18.15,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1965-01","Jan-1965","IDX","Index","0","Units",,,19.1,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1965-02","Feb-1965","IDX","Index","0","Units",,,18.44,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1965-03","Mar-1965","IDX","Index","0","Units",,,18.21,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1965-04","Apr-1965","IDX","Index","0","Units",,,18.4,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1965-05","May-1965","IDX","Index","0","Units",,,18.56,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1965-06","Jun-1965","IDX","Index","0","Units",,,18.73,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1965-07","Jul-1965","IDX","Index","0","Units",,,18.83,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1965-08","Aug-1965","IDX","Index","0","Units",,,18.93,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1965-09","Sep-1965","IDX","Index","0","Units",,,19.16,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1965-10","Oct-1965","IDX","Index","0","Units",,,19.11,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1965-11","Nov-1965","IDX","Index","0","Units",,,19.19,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1965-12","Dec-1965","IDX","Index","0","Units",,,18.3,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1966-01","Jan-1966","IDX","Index","0","Units",,,19.36,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1966-02","Feb-1966","IDX","Index","0","Units",,,19.39,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1966-03","Mar-1966","IDX","Index","0","Units",,,19.49,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1966-04","Apr-1966","IDX","Index","0","Units",,,19.54,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1966-05","May-1966","IDX","Index","0","Units",,,19.47,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1966-06","Jun-1966","IDX","Index","0","Units",,,19.53,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1966-07","Jul-1966","IDX","Index","0","Units",,,19.71,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1966-08","Aug-1966","IDX","Index","0","Units",,,19.05,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1966-09","Sep-1966","IDX","Index","0","Units",,,19.61,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1966-10","Oct-1966","IDX","Index","0","Units",,,20.08,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1966-11","Nov-1966","IDX","Index","0","Units",,,19.74,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1966-12","Dec-1966","IDX","Index","0","Units",,,20.36,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1967-01","Jan-1967","IDX","Index","0","Units",,,19.55,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1967-02","Feb-1967","IDX","Index","0","Units",,,19.55,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1967-03","Mar-1967","IDX","Index","0","Units",,,19.61,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1967-04","Apr-1967","IDX","Index","0","Units",,,20.02,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1967-05","May-1967","IDX","Index","0","Units",,,19.79,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1967-06","Jun-1967","IDX","Index","0","Units",,,19.66,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1967-07","Jul-1967","IDX","Index","0","Units",,,19.7,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1967-08","Aug-1967","IDX","Index","0","Units",,,19.11,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1967-09","Sep-1967","IDX","Index","0","Units",,,19.77,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1967-10","Oct-1967","IDX","Index","0","Units",,,19.85,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1967-11","Nov-1967","IDX","Index","0","Units",,,19.81,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1967-12","Dec-1967","IDX","Index","0","Units",,,20.72,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1968-01","Jan-1968","IDX","Index","0","Units",,,20.23,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1968-02","Feb-1968","IDX","Index","0","Units",,,20.14,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1968-03","Mar-1968","IDX","Index","0","Units",,,20.75,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1968-04","Apr-1968","IDX","Index","0","Units",,,20.77,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1968-05","May-1968","IDX","Index","0","Units",,,20.8,,
"AUT","Austria","201","Index of industrial production","202010","October 2020","M","Monthly","1968-06","Jun-1968","IDX","Index","0","Units",,,21.96,,
