Titre :;Indices des prix des logements anciens, Ensemble des logements, France métropolitaine;Prix de vente moyen d'une maison neuve, Ile de France
Code série :;RPP.Q.FR.N.ED.00.1.00;RPP.Q.FR.N.NH.CR.1.00
Unité :;Solde d`opinion (SO);Euro (EUR)
Magnitude :;Unités (0);Milliers (3)
Méthode d'observation :;Fin de période (E);Fin de période (E)
Source :;Banque de France (FR2);Banque de France (FR2)
T3 2021;126,8;435
T2 2021;122,9;428
T1 2021;120,5;396
T4 2020;119,6;381
T3 2020;118,1;393
T2 2020;115,7;373
T1 2020;113,7;364
T4 2019;112,4;372
T3 2019;112,2;370
T2 2019;109,4;334
T1 2019;108,3;340
T4 2018;108,3;356
T3 2018;108,8;334
T2 2018;106,1;333
T1 2018;105,2;340
T4 2017;104,9;334
T3 2017;105,7;353
T2 2017;103,2;346
T1 2017;102,1;327
T4 2016;101,6;332
T3 2016;102,3;342
T2 2016;100,1;317
T1 2016;99,7;321
T4 2015;100,1;309
T3 2015;101;306
T2 2015;99,5;316
T1 2015;99,4;320
T4 2014;100,6;312
T3 2014;102,9;320
T2 2014;102,2;325
T1 2014;101,9;328
T4 2013;103,2;349
T3 2013;104,4;316
T2 2013;103,6;317
T1 2013;103,8;310
T4 2012;105,2;325
T3 2012;106,9;333
T2 2012;106;328
T1 2012;105,9;320
T4 2011;107,4;311
T3 2011;108,7;315
T2 2011;106,2;364
T1 2011;104;341
T4 2010;103,6;311
T3 2010;102,4;307
T2 2010;99,2;305
T1 2010;97,2;321
T4 2009;96,3;323
T3 2009;96,1;326
T2 2009;94,3;340
T1 2009;96;352
T4 2008;100,4;348
T3 2008;104,2;345
T2 2008;103,7;359
T1 2008;103,7;379
T4 2007;104,4;371
T3 2007;103,6;370
T2 2007;101,2;351
T1 2007;99,4;337
T4 2006;98,7;346
T3 2006;98;343
T2 2006;94,7;365
T1 2006;91,9;350
T4 2005;89,7;343
T3 2005;88,1;329
T2 2005;83,9;316
T1 2005;80,4;311
T4 2004;78,1;
T3 2004;76,3;
T2 2004;72,5;
T1 2004;69,6;
T4 2003;67,4;
T3 2003;66,1;
T2 2003;63,3;
T1 2003;60,9;
T4 2002;59,7;
T3 2002;59,2;
T2 2002;56,6;
T1 2002;54,7;
T4 2001;54,2;
T3 2001;54,2;
T2 2001;52,5;
T1 2001;50,9;
T4 2000;50,2;
T3 2000;50,4;
T2 2000;48,6;
T1 2000;47,1;
T4 1999;46,4;
T3 1999;46,3;
T2 1999;44,5;
T1 1999;43,4;
T4 1998;42,8;
T3 1998;43;
T2 1998;42;
T1 1998;41;
T4 1997;41,7;
T3 1997;41,9;
T2 1997;41,5;
T1 1997;40,3;
T4 1996;41,9;
T3 1996;42,1;
T2 1996;41,3;
T1 1996;40,8;
