Titre :;Indices des prix des logements anciens, Ensemble des logements, France métropolitaine
Code série :;RPP.Q.FR.N.ED.00.1.00
Unité :;Solde d`opinion (SO)
Magnitude :;Unités (0)
Méthode d'observation :;Fin de période (E)
Source :;Banque de France (FR2)
T3 2019;112,2
T2 2019;109,4
T1 2019;108,3
T4 2018;108,3
T3 2018;108,8
T2 2018;106,1
T1 2018;105,2
T4 2017;104,9
T3 2017;105,7
T2 2017;103,2
T1 2017;102,1
T4 2016;101,6
T3 2016;102,3
T2 2016;100,1
T1 2016;99,7
T4 2015;100,1
T3 2015;101
T2 2015;99,5
T1 2015;99,4
T4 2014;100,6
T3 2014;102,9
T2 2014;102,2
T1 2014;101,9
T4 2013;103,2
T3 2013;104,4
T2 2013;103,6
T1 2013;103,8
T4 2012;105,2
T3 2012;106,9
T2 2012;106
T1 2012;105,9
T4 2011;107,4
T3 2011;108,7
T2 2011;106,2
T1 2011;104
T4 2010;103,6
T3 2010;102,4
T2 2010;99,2
T1 2010;97,2
T4 2009;96,3
T3 2009;96,1
T2 2009;94,3
T1 2009;96
T4 2008;100,4
T3 2008;104,2
T2 2008;103,7
T1 2008;103,7
T4 2007;104,4
T3 2007;103,6
T2 2007;101,2
T1 2007;99,4
T4 2006;98,7
T3 2006;98
T2 2006;94,7
T1 2006;91,9
T4 2005;89,7
T3 2005;88,1
T2 2005;83,9
T1 2005;80,4
T4 2004;78,1
T3 2004;76,3
T2 2004;72,5
T1 2004;69,6
T4 2003;67,4
T3 2003;66,1
T2 2003;63,3
T1 2003;60,9
T4 2002;59,7
T3 2002;59,2
T2 2002;56,6
T1 2002;54,7
T4 2001;54,2
T3 2001;54,2
T2 2001;52,5
T1 2001;50,9
T4 2000;50,2
T3 2000;50,4
T2 2000;48,6
T1 2000;47,1
T4 1999;46,4
T3 1999;46,3
T2 1999;44,5
T1 1999;43,4
T4 1998;42,8
T3 1998;43
T2 1998;42
T1 1998;41
T4 1997;41,7
T3 1997;41,9
T2 1997;41,5
T1 1997;40,3
T4 1996;41,9
T3 1996;42,1
T2 1996;41,3
T1 1996;40,8
